year,month,47N,46N,45N,44N,43N,42N,41N,40N,39N,38N,37N,36N,35N,34N,33N,32N,31N
1997,4,-0.02,0.044,0.119,-0.068,0.543,0.535,0.347,0.948,1.624,0.568,0.941,1.195,1.245,0.712,0.593,0.374,0.677
1997,5,-0.054,0.049,0.148,0.026,0.219,0.274,0.112,0.461,0.522,0.312,0.343,0.5,0.45,0.34,0.24,0.194,0.325
1997,6,0.081,0.171,0.33,0.259,0.573,1.01,0.865,1.583,1.8,1.068,1.049,0.914,0.964,0.632,0.387,0.364,0.425
1997,7,0.295,0.344,0.56,0.432,0.797,1.098,0.797,1.156,1.108,0.761,0.552,0.623,0.624,0.303,0.194,0.284,0.116
1997,8,0.011,0.101,0.135,0.103,0.296,0.349,0.293,0.334,0.372,0.192,0.316,0.391,0.507,0.275,0.261,0.266,0.323
1997,9,-0.222,-0.066,-0.08,-0.001,0.219,0.455,0.407,0.641,0.672,0.385,0.279,0.393,0.64,0.371,0.312,0.253,0.29
1997,10,-0.334,-0.131,-0.152,-0.109,0.347,0.367,0.615,0.752,0.855,0.442,0.383,0.693,0.618,0.453,0.381,0.222,0.23
1997,11,-0.647,-0.16,-0.467,-0.339,-0.396,-0.799,-0.696,-0.369,-0.09,-0.318,-0.177,0.077,-0.01,0.054,0.096,0.182,0.266
1997,12,-0.53,-0.295,-0.132,-0.193,0.012,0.248,0.121,0.198,0.359,0.143,0.307,0.365,0.284,0.172,0.154,0.202,0.431
1998,1,-1.068,-0.295,-0.952,-0.28,-0.58,-1.289,-0.755,-0.85,-0.616,-0.434,-0.424,0.285,-0.059,0.27,0.356,0.294,0.509
1998,2,-0.947,-0.229,-0.982,-0.215,-0.539,-0.935,-0.643,-0.586,-0.14,-0.379,-0.127,0.333,0.64,0.354,0.532,0.296,0.175
1998,3,-0.148,0.12,0.076,-0.06,0.215,0.372,0.185,1.068,0.976,0.463,0.734,1.1,1.026,0.624,0.555,0.447,0.362
1998,4,0.051,0.04,0.18,0.103,0.447,0.636,0.65,0.993,1.1,0.678,0.761,0.942,1.07,0.663,0.353,0.696,0.257
1998,5,0.217,0.23,0.341,0.146,0.572,0.561,0.314,0.538,0.561,0.223,0.313,0.549,0.736,0.459,0.334,0.486,0.4
1998,6,0.326,0.358,0.527,0.487,1.003,1.229,1.297,1.484,1.384,0.819,0.584,0.594,0.634,0.437,0.266,0.462,0.695
1998,7,0.107,0.231,0.377,0.354,0.795,0.758,0.827,1.204,1.369,0.493,0.555,0.507,0.75,0.313,0.196,0.205,0.364
1998,8,0.253,0.366,0.525,0.495,0.844,0.967,1.028,1.451,1.4,0.651,0.758,0.713,0.831,0.432,0.26,0.19,0.218
1998,9,0.217,0.333,0.5,0.375,0.704,0.778,0.718,0.84,0.843,0.399,0.352,0.553,0.582,0.299,0.293,0.43,0.353
1998,10,-0.188,0.005,0.021,-0.018,0.268,0.276,0.275,0.688,0.93,0.458,0.697,0.999,0.875,0.56,0.365,0.209,0.301
1998,11,-0.891,-0.417,-0.722,-0.616,-0.504,-0.808,-0.594,-0.195,0.098,-0.116,0.169,0.407,0.535,0.447,0.427,0.347,0.208
1998,12,-0.266,-0.055,-0.078,-0.207,0.62,0.52,0.791,1.091,1.259,0.6,0.784,0.994,0.89,0.558,0.334,0.49,0.261
1999,1,-0.439,-0.211,-0.288,-0.333,0.083,-0.007,0.093,0.284,0.531,0.392,0.257,0.211,0.405,0.238,0.188,0.274,0.273
1999,2,-1.261,-0.589,-1.252,-0.73,-0.723,-1.016,-0.88,-0.438,0.084,0.148,0.381,0.3,0.725,0.371,0.593,0.309,0.724
1999,3,-0.583,-0.198,-0.404,-0.321,-0.449,0.15,-0.139,0.29,0.558,0.472,0.523,0.795,0.643,0.347,0.371,0.252,0.574
1999,4,0.328,0.306,0.553,0.289,0.955,1.616,1.435,1.792,2.313,1.22,1.331,1.49,1.173,0.527,0.482,0.307,0.554
1999,5,0.327,0.347,0.497,0.297,0.827,1.455,1.304,1.699,2.21,0.674,1.038,1.207,0.806,0.476,0.241,0.298,0.37
1999,6,0.097,0.176,0.258,0.178,0.666,0.849,0.698,1.922,2.035,0.682,0.914,1.28,1,0.623,0.385,0.428,0.395
1999,7,0.266,0.288,0.465,0.419,0.771,0.919,0.836,1.206,1.19,0.474,0.472,0.605,0.753,0.487,0.399,0.45,0.497
1999,8,0.131,0.217,0.306,0.243,0.506,0.533,0.576,1.091,1.201,0.501,0.66,0.877,0.93,0.654,0.382,0.458,0.512
1999,9,0.329,0.455,0.64,0.665,1.218,1.437,1.343,1.637,1.075,0.363,0.253,0.109,0.248,0.219,0.32,0.402,0.448
1999,10,-0.192,0.048,0.102,0.098,0.439,0.537,0.508,0.686,0.66,0.314,0.41,0.33,0.634,0.292,0.3,0.239,0.433
1999,11,-0.717,-0.379,-0.641,-0.641,-0.842,-1.041,-0.94,-0.229,-0.093,-0.127,0.261,0.186,0.379,0.372,0.303,0.312,0.454
1999,12,-0.248,-0.04,-0.008,-0.117,0.48,0.6,0.423,1.09,1.163,0.628,0.768,0.427,0.574,0.485,0.328,0.256,0.198
2000,1,-0.448,-0.116,-0.293,-0.473,-0.353,-0.574,-0.426,-0.289,0.107,0.032,0.012,0.297,0.495,0.273,0.421,0.231,0.276
2000,2,-0.416,0.07,-0.266,-0.114,-0.251,-0.684,-0.667,-0.477,-0.15,-0.265,-0.319,-0.05,-0.066,0.153,0.312,0.201,0.146
2000,3,-0.061,0.086,0.109,-0.075,0.572,1.097,0.862,1.314,1.862,0.967,1.222,1.159,1.093,0.609,0.524,0.342,0.378
2000,4,0.015,0.091,0.209,0.057,0.387,0.336,0.242,0.485,0.689,0.386,0.573,0.905,0.825,0.615,0.376,0.324,0.451
2000,5,0.1,0.201,0.251,0.15,0.474,0.665,0.562,1.296,1.353,0.878,0.96,1.239,0.941,0.534,0.429,0.336,0.48
2000,6,0.258,0.337,0.566,0.483,1.224,1.368,1.246,1.284,1.165,0.577,0.376,0.477,0.265,0.286,0.342,0.384,0.635
2000,7,0.207,0.279,0.427,0.358,0.719,0.702,0.903,1.344,1.672,0.916,0.954,1.12,1.047,0.709,0.324,0.521,0.607
2000,8,0.253,0.348,0.487,0.449,0.768,0.923,0.879,1.305,1.416,0.652,0.43,0.509,0.435,0.39,0.304,0.275,0.286
2000,9,0.002,0.158,0.251,0.242,0.599,0.762,0.635,1.06,0.933,0.576,0.438,0.614,0.561,0.348,0.265,0.295,0.41
2000,10,-0.169,0.141,0.108,0.108,0.509,0.653,0.729,0.883,0.945,0.655,0.789,0.667,0.718,0.431,0.306,0.257,0.369
2000,11,-0.15,0.015,0.222,-0.016,0.272,0.211,0.256,0.409,0.527,0.309,0.593,0.562,0.544,0.577,0.472,0.278,0.315
2000,12,-0.265,-0.086,-0.314,-0.248,-0.147,0.019,-0.03,0.328,0.367,0.148,0.185,0.387,0.39,0.35,0.221,0.135,0.048
2001,1,-0.242,-0.204,-0.409,-0.257,-0.108,0.011,-0.142,0.202,0.325,0.212,0.268,0.02,0.156,0.191,0.196,0.264,0.163
2001,2,-0.098,0.051,0.232,0.144,0.546,0.294,0.383,0.219,0.38,0.312,0.123,0.188,0.28,0.119,0.429,0.115,0.076
2001,3,0.109,0.167,0.541,0.235,0.789,0.876,0.739,1.351,1.21,0.656,0.691,0.945,0.807,0.573,0.359,0.246,0.264
2001,4,0.186,0.078,0.182,-0.165,0.405,0.799,0.81,0.745,1.22,0.803,0.904,1.091,1.311,0.943,0.793,0.551,0.453
2001,5,0.312,0.282,0.471,0.439,1,1.666,1.441,1.746,1.86,1.233,0.731,0.754,0.568,0.157,0.053,0.225,0.199
2001,6,0.283,0.219,0.418,0.274,0.612,1.013,1.115,1.471,1.947,1.356,1.273,1.093,1.04,0.562,0.247,0.386,0.352
2001,7,0.577,0.525,0.776,0.96,1.347,1.45,2.214,2.263,2.108,0.973,0.775,0.815,0.795,0.56,0.355,0.384,0.455
2001,8,0.024,0.072,0.161,0.082,0.267,0.232,0.479,1.172,1.842,1.033,0.915,0.86,0.847,0.517,0.372,0.388,0.289
2001,9,0.247,0.352,0.43,0.639,0.926,0.91,0.712,1.227,1.147,0.458,0.413,0.493,0.585,0.407,0.365,0.349,0.445
2001,10,0.203,0.128,0.108,0.274,0.792,0.581,1.19,0.951,1.273,0.558,0.515,0.275,0.245,0.134,0.16,0.068,0.168
