#YY,MM,DD,hh,mm,WDIR,WSPD,GST,WVHT,DPD,APD,MWD,PRES,ATMP,WTMP,DEWP,VIS,TIDE
#yr,mo,dy,hr,mn,degT,m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2012,1,8,6,50,150,0.3,0.7,1.23,14.81,8.58,265,1017.5,13.2,14.9,12,99,99
2012,1,8,7,50,319,0.4,1,1.11,13.79,8.26,277,1017.5,13.2,14.9,12.2,99,99
2012,1,8,8,50,215,0.4,0.9,1.09,13.79,8.29,284,1017.5,13.2,14.9,12.2,99,99
2012,1,8,9,50,279,0.2,0.6,1.07,12.9,7.82,270,1017.9,13.2,14.9,12.5,99,99
2012,1,8,10,50,355,1.7,2.4,1.22,14.81,8.34,297,1018.1,13.5,14.9,12.8,99,99
2012,1,8,11,50,301,1.6,2.3,1.12,13.79,7.81,276,1018.1,14,14.9,13.3,99,99
2012,1,8,12,50,76,3.3,5,1.33,14.81,8.4,262,1018.1,17.4,14.9,999,99,99
2012,1,8,13,50,41,5.6,6.9,1.2,14.81,7.81,269,1018.3,17.5,14.9,999,99,99
2012,1,8,14,50,51,6.1,8.5,1.23,12.12,6.82,269,1018.6,18.1,14.9,999,99,99
2012,1,8,15,50,52,4.3,5.2,1.07,12.9,5.58,271,1019.3,17,14.9,6.4,99,99
2012,1,8,16,50,94,1.3,2.6,0.95,13.79,6.04,273,1020.6,17.2,14.9,5.8,99,99
2012,1,8,17,50,195,1.9,2.7,1.04,13.79,6.74,267,1021.2,16.8,14.9,6.8,99,99
2012,1,8,18,50,167,2.7,3.8,0.96,13.79,5.77,261,1021.2,16.6,15.1,9.1,99,99
2012,1,8,19,50,197,3.7,4.4,0.89,12.9,5.89,232,1020.7,16.1,15.2,8.7,99,99
2012,1,8,20,50,222,3.5,4.1,0.91,12.9,6.96,236,1019.9,16.4,15.4,8.7,99,99
2012,1,8,21,50,250,3.3,3.8,0.88,12.12,7.55,236,1019.5,16.6,15.4,9.3,99,99
2012,1,8,22,50,328,6.5,7.4,0.91,12.12,7.66,281,1019.1,16.8,15.4,9.8,99,99
2012,1,8,23,50,307,4.7,5.5,0.97,12.12,7.43,274,1019.2,16.5,15.3,9.3,99,99
2012,1,9,0,50,324,5.5,6.5,0.92,13.79,7.02,274,1019,16,15.2,10.2,99,99
2012,1,9,1,50,338,4.9,6,0.96,12.12,5.81,281,1018.9,16,15.1,10.8,99,99
2012,1,9,2,50,313,6,7,1.02,12.12,5.92,280,1019.3,15.8,15.1,10.3,99,99
2012,1,9,3,50,304,5,5.9,0.9,13.79,5.33,284,1020,15.9,15,9.3,99,99
2012,1,9,4,50,272,5.3,6.5,0.95,12.9,5.39,260,1020.3,15.3,15,11.7,99,99
2012,1,9,5,50,311,5.4,6.4,0.85,12.9,5.3,269,1020.3,15.7,15,10.7,99,99
2012,1,9,6,50,326,5.3,6.1,0.87,13.79,5.71,282,1020.3,16,15,10.3,99,99
2012,1,9,7,50,354,4.8,5.8,0.84,12.9,5.11,334,1020.5,15.9,15,9.4,99,99
2012,1,9,8,50,2,3.3,3.9,0.83,12.9,5.59,296,1020.9,15.7,14.9,10.3,99,99
2012,1,9,9,50,7,4,4.5,0.82,12.12,5.77,276,1021,16,14.9,11.1,99,99
2012,1,9,10,50,343,5.3,6.4,0.86,12.12,6.59,293,1020.8,15.5,14.9,10.4,99,99
2012,1,9,11,50,355,4.8,5.5,0.82,12.9,5.97,272,1020.6,15.4,14.9,10.5,99,99
