"Year","Observer","Plot","LayingSequence","Length","Width","Size"
2012,"SKT","CC","Egg1",51.2,35,1792
2012,"REW","CC","Egg1",54.9,36.1,1981.89
2012,"REW","LC","Egg1",52.2,35.8,1868.76
2012,"REW","LC","Egg1",53.4,35.7,1906.38
2012,"REW","LC","Egg1",50.4,34.8,1753.92
2012,"REW","LC","Egg1",51.8,34.6,1792.28
2012,"REW","LC","Egg1",52.4,36,1886.4
2012,"REW","LC","Egg1",51.5,34.2,1761.3
2012,"REW","LC","Egg1",53.4,35.5,1895.7
2012,"REW","LC","Egg1",53.75,36.5,1961.875
2012,"REW","LC","Egg1",51,36.1,1841.1
2012,"REW","LC","Egg1",51,35.8,1825.8
2012,"SKT","DO","Egg1",52.5,35.3,1853.25
2012,"KMR","LC","Egg1",52.2,36.5,1905.3
2012,"KMR","LC","Egg1",52.5,35.7,1874.25
2012,"SKT","LC","Egg1",53,34.8,1844.4
2013,"SJK","LC","Egg1",52.2,35,1827
2013,"SJK","LC","Egg1",56.6,35.3,1997.98
2013,"SJK","BH","Egg1",52.2,35.6,1858.32
2013,"SJK","DO","Egg1",52.9,35.2,1862.08
2013,"SJK","DO","Egg1",51.5,36,1854
2013,"SJK","DO","Egg1",54.1,35.2,1904.32
2013,"SJK","DO","Egg1",56.7,37.2,2109.24
2013,"SJK","DO","Egg1",53.5,34,1819
2013,"SJK","DO","Egg1",53.7,36,1933.2
2013,"RER","CC","Egg1",55.65,35.7,1986.705
2013,"SJK","DO","Egg1",53.6,35.4,1897.44
2013,"AAY","DO","Egg1",53,36.75,1947.75
2013,"AAY","DO","Egg1",51,35.3,1800.3
2013,"AAY","DO","Egg1",53.6,36.3,1945.68
2013,"JAH","LC","Egg1",51.9,34.4,1785.36
2013,"JAH","LC","Egg1",51.6,34,1754.4
2013,"JAH","LC","Egg1",51.5,35.5,1828.25
2013,"AAY","CC","Egg1",57.3,35.9,2057.07
2013,"AAY","CC","Egg1",56.2,35.2,1978.24
2013,"AAY","CC","Egg1",52.3,37.6,1966.48
2013,"AAY","CC","Egg1",55,37.8,2079
2013,"JAH","APNC","Egg1",53.9,36.2,1951.18
2013,"JAH","APNC","Egg1",51.9,34,1764.6
2013,"JAH","LC","Egg1",56.2,35.4,1989.48
2013,"CLE","DO","Egg1",52.25,35.7,1865.325
2013,"RER","LC","Egg1",53,33.7,1786.1
2013,"RER","LC","Egg1",55.1,34.5,1900.95
2013,"RER","LC","Egg1",52.4,36,1886.4
2013,"RER","LC","Egg1",50.4,34.8,1753.92
2013,"RER","LC","Egg1",57.8,36.4,2103.92
2013,"RER","LC","Egg1",55.3,34.6,1913.38
2013,"RER","LC","Egg1",52.2,34.95,1824.39
2013,"RER","LC","Egg1",54.9,32.4,1778.76
2013,"JAH","DO","Egg1",53,36,1908
2013,"JAH","DO","Egg1",57,36,2052
2013,"JAH","DO","Egg1",56,37,2072
2013,"JAH","DO","Egg1",54,38,2052
2013,"JAH","LC","Egg1",53.6,36,1929.6
2013,"RER","CC","Egg1",54.2,37,2005.4
2013,"RER","CC","Egg1",54.9,36.5,2003.85
2013,"RER","CC","Egg1",55,35.6,1958
2013,"AAY","DO","Egg1",55.7,36.2,2016.34
2013,"AAY","LC","Egg1",54.3,36.5,1981.95
2013,"AAY","LC","Egg1",52,35.2,1830.4
2013,"AAY","LC","Egg1",52.3,35,1830.5
2013,"AAY","LC","Egg1",54.3,34.9,1895.07
2013,"EWW","CC","Egg1",54.7,35.7,1952.79
2013,"RER","LC","Egg1",51.7,34.3,1773.31
2013,"RER","LC","Egg1",53.9,34.4,1854.16
2013,"RER","LC","Egg1",50.6,35,1771
2013,"RER","CC","Egg1",50.5,36.5,1843.25
2013,"JAH","APNC","Egg1",51.8,36.2,1875.16
2013,"JAH","APNC","Egg1",56.5,34.5,1949.25
2013,"AAY","DO","Egg1",53.1,35,1858.5
2013,"AAY","DO","Egg1",53.6,35.9,1924.24
2013,"JAH","APNC","Egg1",55.7,33.8,1882.66
2013,"CLE","DO","Egg1",54.1,36.4,1969.24
2013,"SJK","CC","Egg1",50.9,34.85,1773.865
2013,"SJK","LC","Egg1",57.2,36.6,2093.52
2013,"SJK","LC","Egg1",53.1,36.1,1916.91
2013,"EWW","APNC","Egg1",53,36,1908
2013,"CLE","DO","Egg1",53,36,1908
2013,"CLE","LC","Egg1",56.05,34.9,1956.145
2013,"AAY","DO","Egg1",52.1,34.65,1805.265
2013,"RER","DO","Egg1",50.65,35.5,1798.075
2013,"CLE","LC","Egg1",52.65,34.5,1816.425
2013,"CLE","LC","Egg1",49.9,35.05,1748.995
2013,"RER","ESC","Egg1",51.85,35.9,1861.415
2013,"CLE","CC","Egg1",52.1,35.3,1839.13
2013,"JAH","APNC","Egg1",52.4,36.1,1891.64
2013,"JAH","LC","Egg1",53,35.3,1870.9
2014,"JAH","APNC","Egg1",52.3,35.5,1856.65
2014,"JAH","APNC","Egg1",51,34.1,1739.1
2014,"JAH","CC","Egg1",52.8,33.9,1789.92
2014,"JAH","CC","Egg1",54.1,35.7,1931.37
2014,"JAH","LC","Egg1",53.6,34.5,1849.2
2014,"JAH","LC","Egg1",52.6,35.7,1877.82
2014,"JAH","LC","Egg1",49.3,34.2,1686.06
2014,"CAC","DO","Egg1",52,36,1872
2014,"CAC","DO","Egg1",54,35,1890
2014,"CAC","DO","Egg1",52.7,36,1897.2
2014,"CAC","DO","Egg1",55,30,1650
2014,"CAC","DO","Egg1",52,35,1820
2014,"CAC","APNC","Egg1",56.85,34.9,1984.065
2014,"CAC","APNC","Egg1",52.4,35,1834
2014,"CAC","CC","Egg1",54,33.7,1819.8
2014,"CAC","CC","Egg1",56.3,35.3,1987.39
2014,"CAC","LC","Egg1",54.2,36.1,1956.62
2014,"JAH","DO","Egg1",51.8,35.1,1818.18
2014,"JAH","DO","Egg1",51.3,36.8,1887.84
2014,"JAH","DO","Egg1",51.4,35.3,1814.42
2014,"JAH","DO","Egg1",52.3,36.1,1888.03
2014,"JAH","DO","Egg1",53.3,35,1865.5
2014,"JAH","DO","Egg1",54.25,33.7,1828.225
2014,"JAH","LC","Egg1",54.6,36.2,1976.52
2014,"JAH","LC","Egg1",52.9,36.2,1914.98
2014,"SMC","APNC","Egg1",53.3,35.2,1876.16
2014,"SMC","APNC","Egg1",55.2,38.1,2103.12
2014,"SMC","APNC","Egg1",53,36.6,1939.8
2014,"JAH","CC","Egg1",54.4,35.8,1947.52
2014,"JAH","CC","Egg1",55,35.2,1936
2014,"JAH","CC","Egg1",50.2,35,1757
2014,"JAH","CC","Egg1",56,36.2,2027.2
2014,"JAH","CC","Egg1",53.6,35.3,1892.08
2014,"JAH","CC","Egg1",54,36.6,1976.4
2014,"JAH","CC","Egg1",55.5,35.8,1986.9
2014,"JAH","CC","Egg1",54.4,30.9,1680.96
2014,"SMC","LC","Egg1",54.6,35.2,1921.92
2014,"SMC","LC","Egg1",51.3,35.2,1805.76
2014,"SMC","LC","Egg1",52.8,35.2,1858.56
2014,"SMC","LC","Egg1",55.2,36.1,1992.72
2014,"SMC","LC","Egg1",54.4,36.6,1991.04
2014,"SMC","LC","Egg1",54.3,36.7,1992.81
2014,"SMC","LC","Egg1",55.6,35.8,1990.48
2014,"SMC","LC","Egg1",53.1,36.9,1959.39
2014,"SMC","LC","Egg1",52.3,35.2,1840.96
2014,"SFC","DO","Egg1",57.1,36,2055.6
2014,"SFC","DO","Egg1",52.8,31.5,1663.2
2014,"SFC","DO","Egg1",54.8,35.9,1967.32
2014,"SFC","DO","Egg1",54.3,36.9,2003.67
2014,"SFC","DO","Egg1",51.1,34.7,1773.17
2014,"EWW","CC","Egg1",55.1,37.4,2060.74
2014,"EWW","CC","Egg1",53.8,37,1990.6
2014,"SMC","LC","Egg1",55.2,35.5,1959.6
2014,"SMC","LC","Egg1",53.5,34.6,1851.1
2014,"SMC","LC","Egg1",52.8,33.9,1789.92
2014,"SMC","LC","Egg1",53,34.3,1817.9
2014,"SMC","LC","Egg1",54.3,35.3,1916.79
2014,"EWW","DO","Egg1",52.5,35.6,1869
2014,"AAY","APNC","Egg1",55.2,35.3,1948.56
2014,"AAY","CC","Egg1",50.4,35.1,1769.04
2014,"AAY","CC","Egg1",51.6,36.2,1867.92
2014,"AAY","LC","Egg1",53.5,35.5,1899.25
2014,"AAY","DO","Egg1",53.1,36,1911.6
2014,"AAY","APNC","Egg1",52.6,32.9,1730.54
2014,"JAH","APNC","Egg1",54.2,35,1897
2014,"JAH","CC","Egg1",56.4,35.5,2002.2
2014,"JAH","LC","Egg1",50,34,1700
2014,"SMC","DO","Egg1",53.4,36.1,1927.74
2014,"SMC","DO","Egg1",54,36.5,1971
2014,"JAH","LC","Egg1",53.9,35.2,1897.28
2014,"JAH","LC","Egg1",50.2,35.7,1792.14
2014,"JAH","DO","Egg1",53.8,36.1,1942.18
2014,"JAH","DO","Egg1",52,36,1872
2014,"JAH","APNC","Egg1",55.7,35,1949.5
2014,"JAH","CC","Egg1",53.6,35.6,1908.16
2014,"JAH","CC","Egg1",55.6,36.6,2034.96
2014,"JAH","LC","Egg1",52,35.5,1846
2014,"JAH","LC","Egg1",53.3,36,1918.8
2014,"SMC","LC","Egg1",52,35.2,1830.4
2014,"JAH","APNC","Egg1",56.1,34.4,1929.84
2014,"JAH","CC","Egg1",52,34.8,1809.6
2014,"JAH","LC","Egg1",54.7,35,1914.5
2014,"JAH","DO","Egg1",52.1,36.7,1912.07
2014,"JAH","APNC","Egg1",55.2,34.6,1909.92
